2 4e-06 2e-06 3e-06 2e-06 2e-06 2e-06 2e-06 2e-06 2e-06 2e-06 
4 5e-06 3e-06 2e-06 3e-06 2e-06 3e-06 2e-06 3e-06 2e-06 2e-06 
8 5e-06 3e-06 3e-06 3e-06 3e-06 4e-06 3e-06 4e-06 3e-06 3e-06 
16 9e-06 6e-06 6e-06 6e-06 6e-06 6e-06 6e-06 6e-06 5e-06 6e-06 
32 2.1e-05 1.7e-05 1.7e-05 1.7e-05 1.7e-05 1.6e-05 1.6e-05 1.6e-05 1.6e-05 1.6e-05 
64 6.6e-05 6.2e-05 6.2e-05 6.2e-05 6.2e-05 6.2e-05 6.2e-05 6.2e-05 6.2e-05 6.2e-05 
128 0.000176 0.000133 0.000133 0.000132 0.000132 0.000132 0.000132 0.000132 0.000132 0.000132 
256 0.000451 0.000446 0.000373 0.000373 0.000384 0.000373 0.000374 0.000322 0.000322 0.000321 
512 0.001187 0.001056 0.001056 0.001033 0.000976 0.001191 0.001029 0.000977 0.000977 0.000982 
1024 0.004551 0.00535 0.005287 0.004168 0.004127 0.00412 0.004129 0.004122 0.004121 0.004122 
2048 0.018046 0.017912 0.018043 0.018134 0.017967 0.017935 0.017908 0.017921 0.018067 0.017951 
4096 0.076649 0.076669 0.077001 0.078074 0.076623 0.078183 0.076657 0.076902 0.078435 0.076709 
8192 0.326725 0.328049 0.328476 0.327415 0.3298 0.330424 0.326568 0.329321 0.32865 0.32712 
16384 1.39788 1.39986 1.39895 1.39827 1.39827 1.39957 1.39794 1.39983 1.40005 1.39935 
32768 7.33319 7.33346 7.33453 7.34178 7.33705 7.35428 7.33077 7.33033 7.33348 7.41155 
