4000000 0.004445 0.004458 0.004745 0.004603 0.004582 0.004507 0.004407 0.004429 0.00437 0.005355 
8000000 0.008989 0.009221 0.009097 0.009098 0.008841 0.008912 0.008783 0.008637 0.008876 0.008904 
12000000 0.013465 0.014112 0.013291 0.013279 0.013359 0.013337 0.013343 0.013145 0.013493 0.013465 
16000000 0.017727 0.017743 0.017779 0.017852 0.01785 0.017842 0.017512 0.017861 0.01771 0.017739 
20000000 0.022038 0.022637 0.022286 0.022494 0.022763 0.022174 0.022191 0.022337 0.022304 0.022319 
24000000 0.026729 0.026603 0.026537 0.026872 0.026609 0.026192 0.026726 0.026997 0.027614 0.026674 
28000000 0.0309 0.031173 0.031106 0.031216 0.034875 0.030938 0.031376 0.030787 0.030727 0.030379 
32000000 0.035838 0.037664 0.035752 0.03563 0.035288 0.035013 0.035369 0.035397 0.035053 0.035624 
36000000 0.042679 0.040652 0.039959 0.039838 0.039684 0.039507 0.041451 0.03986 0.03957 0.039671 
40000000 0.04436 0.044254 0.04352 0.043996 0.044127 0.044271 0.043746 0.049021 0.04377 0.044616 
44000000 0.048659 0.048059 0.048422 0.048095 0.049162 0.048 0.04932 0.048896 0.048173 0.048337 
48000000 0.053795 0.052666 0.052328 0.053552 0.053262 0.052815 0.053542 0.052871 0.053581 0.052554 
52000000 0.057745 0.057428 0.058309 0.058977 0.057986 0.057253 0.057195 0.058052 0.057369 0.061139 
56000000 0.061824 0.061523 0.061967 0.062735 0.063116 0.062944 0.064116 0.062262 0.062017 0.062151 
60000000 0.069136 0.066666 0.066918 0.067187 0.070649 0.066644 0.067027 0.066952 0.066455 0.070664 
64000000 0.071911 0.070896 0.071079 0.071536 0.075459 0.074376 0.072464 0.078521 0.073226 0.073024 
68000000 0.075042 0.082937 0.086489 0.079078 0.079605 0.082502 0.084297 0.07836 0.076109 0.077727 
72000000 0.079144 0.080038 0.079363 0.079775 0.079413 0.088156 0.080541 0.082153 0.093489 0.081292 
76000000 0.083473 0.08569 0.088992 0.086383 0.08554 0.084721 0.085483 0.083809 0.086299 0.083507 
80000000 0.088435 0.088191 0.097011 0.092613 0.091654 0.088131 0.105322 0.089778 0.090485 0.088243 
84000000 0.097685 0.093385 0.093031 0.098452 0.092582 0.09336 0.093815 0.092018 0.09403 0.09953 
88000000 0.101022 0.097034 0.098728 0.101123 0.09854 0.101512 0.098748 0.098876 0.099673 0.097623 
92000000 0.1021 0.102699 0.101321 0.110233 0.102198 0.101546 0.10665 0.103243 0.106756 0.106607 
96000000 0.107064 0.105562 0.105084 0.104822 0.111811 0.105782 0.108009 0.106282 0.109344 0.111495 
100000000 0.110826 0.110928 0.112279 0.110331 0.110415 0.113111 0.11212 0.110846 0.113039 0.110631 
